Delta z (mu m),Resolution
-0.43906,1.806640625
-0.39516,1.66015625
-0.35125,1.5625
-0.30735,1.46484375
-0.26344,1.318359375
-0.21953,1.26953125
-0.17563,1.123046875
-0.13172,0.9765625
-0.08781,0.78125
-0.04391,0.68359375
0.0,0.5859375
0.04391,0.537109375
0.08781,0.537109375
0.13172,0.5859375
0.17563,0.78125
0.21953,1.07421875
0.26344,1.318359375
0.30735,1.416015625
0.35125,1.513671875
0.39516,1.611328125
0.43906,1.7578125
