Delta z (mu m),Resolution
-0.43906,1.7578125
-0.39516,1.708984375
-0.35125,1.611328125
-0.30735,1.46484375
-0.26344,1.3671875
-0.21953,1.26953125
-0.17563,1.171875
-0.13172,1.025390625
-0.08781,0.87890625
-0.04391,0.732421875
0.0,0.5859375
0.04391,0.5859375
0.08781,0.5859375
0.13172,0.5859375
0.17563,0.68359375
0.21953,0.87890625
0.26344,1.171875
0.30735,1.3671875
0.35125,1.46484375
0.39516,1.611328125
0.43906,1.66015625
